,drvmax
0,27.481975555419922
1,26.081945419311523
2,16.314701080322266
3,28.932968139648438
4,2.2874159812927246
5,0.0
6,0.0
7,41.84503173828125
8,7.3179473876953125
9,32.557464599609375
10,20.766624450683594
11,0.1049346923828125
12,27.76078224182129
13,0.0
14,110.46453857421875
15,1.477975845336914
16,107.62548828125
17,1.8976898193359375
18,21.384197235107422
19,9.4014892578125
20,7.251979827880859
21,4.991544246673584
22,8.10339069366455
23,20.089088439941406
24,39.08694076538086
25,11.955718994140625
26,36.625648498535156
27,0.0
28,33.094085693359375
29,3.84633731842041
30,0.0
31,0.0
32,8.684988021850586
33,15.256441116333008
34,0.0
35,9.005760192871094
36,0.0
37,0.0
38,1.427011489868164
39,0.0
40,0.0
41,166.98439025878906
42,3.543546676635742
43,29.079872131347656
44,10.070029258728027
45,80.92597961425781
46,6.96717643737793
47,13.010997772216797
48,2.7161178588867188
49,35.61235046386719
50,31.136444091796875
51,30.56983184814453
52,68.31669616699219
53,10.315872192382812
